Station;Latitude;Longitude;depth;si;no3;po4;T;so;O2;aou;o2s
1_SUR;44.4013;-9.8273;9;0.670496106;0.155039907;0.172794282;18.66030884;35.7370609;5.374547482;-0.109629422;101.9929657
3_SUR;36.732;-10.475;9;0.331149429;0.202204064;0.084110752;21.68008995;36.48493231;5.312263966;-0.258266926;105.0779343
3_DCM;36.732;-10.475;70;0.844744563;1.555958748;0.14833118;17.00170898;;5.492648602;-0.016025893;100.4444656
4_SUR;36.5533;-6.5669;9;0.066745058;0.896255076;0.075940646;21.48069;36.49531408;5.383465767;-0.253971905;105.1340103
4_DCM;36.5533;-6.5669;40;0.440574646;2.532777071;0.193532839;18.10350037;;5.468271255;0.008546714;100.0985718
5_SUR;36.0244;-4.4685;9;0.264649008;0.533687737;0.096563223;21.69560135;36.69161352;5.336106868;-0.197673893;103.9754322
5_DCM;36.0244;-4.4685;65;1.316719071;2.445705283;0.201407008;16.60334706;;5.207644678;0.31101007;94.57654345
6_SUR;36.5207;-4.0074;9;0.264649008;0.533687737;0.096563223;21.69560135;36.69161352;5.336106868;-0.197673893;103.9754322
6_DCM;36.5207;-4.0074;25;0.516351806;0.719616855;0.11387812;20.51927314;;5.389314888;-0.149401271;103.0330525
7_SUR;37.0434;1.9493;9;0.053329751;0.695519805;0.186078161;24.88180923;37.5273348;4.753466129;-0.132629409;102.9117203
7_DCM;37.0434;1.9493;42;0.785809398;0.723891258;0.193746448;16.20569038;;5.870383263;-0.488904268;109.2102814
8_SUR;38.005;3.9899;9;0.631754756;0.270413756;0.193628326;24.91308975;37.64772129;4.678483486;-0.114265099;102.4857101
8_DCM;38.005;3.9899;41;0.762059748;0.092777587;0.159933686;18.2421093;;5.767976761;-0.494875014;109.3652344
9_SUR;39.0864;5.791;9;0.794113576;0.182992473;0.186433911;24.53919029;37.72953974;4.728218079;-0.064104684;101.2718277
9_DCM;39.0864;5.791;55;0.95047009;0.233660787;0.134083882;16.25320053;;5.750546932;-0.157776371;102.8904266
10_SUR;40.6541;2.8407;9;0.362054229;0.096598126;0.155760735;24.68009949;37.60129749;4.793272018;-0.068534419;101.5798492
10_DCM;40.6541;2.8407;100;2.360223055;2.821609974;0.201942459;13.32189083;;5.263645172;0.657239795;88.60626221
